big,big_st,big_end,peas,peas_st,peas_end,toy,toy_st,toy_end,speakerID,native_language,birth_place,birth_country,other_languages,age,sex,english_onset_age,english_method,english_residence,english_residence_length,sound_file_no,L2_none,L2_chinese,L2_mandarin,L2_arabic,L2_lao,L2_german,L2_japanese,L2_french
-89.21250464036135,18.272662832797472,18.18345032815711,92.3673929214468,7.596286006767459,7.6886533996889055,72.10000583743081,18.472758029704455,18.544858035541885,speakerID_371,thai  (tha),"khon kaen, thailand",thailand,none,25,female,10,academic,usa,1.0,thai1.mp3,1,0,0,0,0,0,0,0
-78.9104223843502,20.69432327383743,20.61541285145308,69.07797609001243,8.798651120214153,8.867729096304165,89.67755349170403,20.950529358406705,21.04020691189841,speakerID_372,thai  (tha),"chiang mai, thailand",thailand,none,20,male,10,academic,"new zealand,usa",2.0,thai2.mp3,1,0,0,0,0,0,0,0
12.10582279524175,15.923012875079145,15.935118697874387,101.72054104111616,7.418470500657267,7.520191041698383,72.66207996853069,16.17169154015647,16.244353620125,speakerID_373,thai  (tha),"bangkok, thailand",thailand,none,22,male,4,academic,usa,0.25,thai3.mp3,1,0,0,0,0,0,0,0
-81.87105546507567,18.52193066641234,18.440059610947266,117.2945149440423,8.470699471819756,8.587993986763799,122.30091089830353,18.739185935664448,18.86148684656275,speakerID_448,thai  (sou),"songkhla, thailand",thailand,none,23,female,7,academic,usa,0.2,thai4.mp3,1,0,0,0,0,0,0,0
-114.23737053567429,15.927312744227569,15.813075373691895,80.08401293068968,7.718968868497228,7.799052881427918,124.07028645116114,16.186924104592908,16.31099439104407,speakerID_612,thai  (tha),"bangkok, thailand",thailand,german chinese,25,male,10,academic,,0.0,thai5.mp3,0,1,0,0,0,1,0,0
-127.0943019850641,20.68705278584441,20.559958483859347,83.74180468399928,9.660878203807105,9.744620008491104,82.53395490784499,20.988919471664758,21.071453426572603,speakerID_698,thai  (tha),"sukhothai, thailand",thailand,mandarin,27,male,11,academic,usa,1.0,thai6.mp3,0,0,1,0,0,0,0,0
4.869284922605743,19.080332323486605,19.08520160840921,83.25971246666874,9.046878433088313,9.130138145554982,81.38485469757484,19.319759603633035,19.40114445833061,speakerID_898,thai  (tha),"phrae, thailand",thailand,french,26,female,10,academic,usa,2.8,thai7.mp3,0,0,0,0,0,0,0,1
-82.05956474863285,17.837236773730147,17.755177208981515,27.235756745950468,7.264984963380691,7.292220720126641,54.828712778292044,18.040405036792414,18.095233749570706,speakerID_1055,thai  (tha),"bangkok, thailand",thailand,none,37,male,25,academic,usa,4.0,thai8.mp3,1,0,0,0,0,0,0,0
-75.86784983402772,13.030392548617021,12.954524698782993,33.5834938886066,6.0750799425072834,6.10866343639589,66.63706738230779,13.23228943352136,13.298926500903669,speakerID_1103,thai  (tha),"bangkok, thailand",thailand,none,18,female,6,academic,,0.0,thai9.mp3,1,0,0,0,0,0,0,0
-85.02784765084215,14.079332595334972,13.99430474768413,80.73094312491591,6.203137541448679,6.283868484573595,86.70943342637116,14.277887294357633,14.364596727784004,speakerID_1488,thai  (tha),"bangkok, thailand",thailand,none,30,male,6,naturalistic,usa,15.0,thai10.mp3,1,0,0,0,0,0,0,0
-101.13073543794115,20.086845163308645,19.985714427870704,118.67898308095448,8.496862764719372,8.615541747800327,100.09796833771745,20.31859783546684,20.418695803804557,speakerID_1673,thai  (tha),"bang na, thailand",thailand,mandarin,18,male,13,naturalistic,,0.0,thai11.mp3,0,0,1,0,0,0,0,0
-87.75134373984628,16.52373219825665,16.435980854516803,71.94708289569007,8.030188676721721,8.102135759617411,69.271135613171,16.742068710411964,16.811339846025135,speakerID_1721,thai  (tha),"bangkok, thailand",thailand,japanese,33,male,8,academic,"india, singapore",0.5,thai12.mp3,0,0,0,0,0,0,1,0
-96.04888651615795,21.288012874066997,21.19196398755084,96.41692246182743,9.810789926706837,9.907206849168665,79.75370066335685,21.53602512501181,21.615778825675168,speakerID_1829,thai  (tha),"nakhon si thammarat, thailand",thailand,chinese,69,female,7,academic,usa,41.0,thai13.mp3,0,1,0,0,0,0,0,0
-118.60054101372697,29.075479008406116,28.95687846739239,59.82649069434487,12.053023373207019,12.112849863901364,76.9718049298227,29.715213168674556,29.79218497360438,speakerID_2066,thai  (tha),"bangkok, thailand",thailand,none,39,female,10,academic,usa,10.0,thai14.mp3,1,0,0,0,0,0,0,0
-103.69242414656199,19.902875356451794,19.799182932305232,37.169180439130756,9.351289633979079,9.38845881441821,154.28478998905248,20.327381122392406,20.48166591238146,speakerID_2131,thai  (tha),"bangkok, thailand",thailand,none,19,female,7,academic,usa,1.5,thai15.mp3,1,0,0,0,0,0,0,0
-123.08474173185857,17.54648909047854,17.423404348746683,54.41025548050238,7.876063133002004,7.930473388482507,56.746204386382004,17.94507678160548,18.00182298599186,speakerID_2333,thai  (tha),"bangkok, thailand",thailand,lao,21,male,11,academic,usa,5.0,thai16.mp3,0,0,0,0,1,0,0,0
-76.6914724490313,19.735768884478883,19.659077412029852,57.74822378120881,9.164045923304057,9.221794147085266,50.55935363003883,20.019075725381715,20.069635079011753,speakerID_2402,thai  (tha),"nonthaburi, thailand",thailand,german,39,female,10,academic,,0.0,thai17.mp3,0,0,0,0,0,1,0,0
-72.61408706386874,20.141163252707887,20.06854916564402,82.5800811581896,8.067662995736596,8.150243076894785,54.334430690826,20.89592994213044,20.950264372821266,speakerID_2541,thai  (tha),"chiangrai, thailand",thailand,mandarin,25,female,7,academic,usa,0.8,thai18.mp3,0,0,1,0,0,0,0,0
-101.40903641786281,18.220428958279527,18.119019921861664,67.29263548901088,8.259201625529878,8.326494261018889,133.6434876378796,18.740185512690104,18.873829000327984,speakerID_2545,thai  (tha),"mae suai, chiang rai, thailand",thailand,none,26,female,7,academic,usa,0.5,thai19.mp3,1,0,0,0,0,0,0,0
-74.97495601595006,16.177190507772547,16.102215551756597,63.95925440620864,7.544889818881876,7.608849073288084,32.972270380717816,16.408256598793734,16.441228869174452,speakerID_2548,thai  (tha),"chiang mai, thailand",thailand,mandarin japanese arabic,25,female,7,academic,usa,1.0,thai20.mp3,0,0,1,1,0,0,1,0
-136.04088517811874,29.973020323873744,29.836979438695625,94.46307917036023,13.484095948866182,13.578559028036542,100.58115832432435,31.20845566792011,31.309036826244434,speakerID_2683,thai  (tha),"bangkok, thailand",thailand,none,42,female,31,academic,,0.0,thai21.mp3,1,0,0,0,0,0,0,0
-137.24102876086874,25.969884725656083,25.832643696895214,53.3916512138255,11.14526318236958,11.198654833583406,51.06365495644383,26.803879116924545,26.85494277188099,speakerID_2948,thai  (tha),"surin, thailand",thailand,lao,55,female,15,academic,usa,40.0,thai22.mp3,0,0,0,0,1,0,0,0
